context_id	word	gold_sense_id	positions	context	lem_context	source
1	замок	1	0-5, 339-344	замок владимира мономаха в любече . многочисленные укрепленные монастыри также не являлись замками как таковыми — это были крепости . ранние европейские замки строились преимущественно из дерева они опоясывались деревянной оградой — палисадом уже тогда вокруг замков стали появляться рвы . примером такого замка может служить вышгородский замок киевских князей . каменное замковое строительство распространилось в западной и центральной европе лишь к xii веку . главной частью средневекового замка являлась центральная башня — донжон , выполнявшая функции цитадели . помимо своих оборонительных функций , донжон являлся непосредственным жилищем феодала . также в главной башне	замок владимир мономах в любечий . многочисленный укрепить монастырь также не являться замок как таковой — это быть крепость . ранний европейский замок строиться преимущественно из дерево они опоясываться деревянный ограда — палисад уже тогда вокруг замковый стать появляться ров . пример такой замок мочь служить вышгородский замок киевский князь . каменный замковый строительство распространиться в западный и центральный европа лишь к xii век . главный частью средневековый замок являться центральный башня — донжон , выполнять функция цитадель . помимо свой оборонительный функция , донжон являться непосредственный жилище феодал . также в главный башня	wiki-wiki
2	замок	1	11-16, 17-22, 188-193	шильонский замок замок шильйон ( ) , известный в русскоязычной литературе как шильо́нский за́мок , расположен на швейцарской ривьере , у кромки женевского озера , в  км от города монтре . замок представляет собой комплекс из элементов разного времени постройки .	шильонский замок замок шильйон ( ) , известный в русскоязычный литература как шильо ́ нский за ́ мокнуть , расположить на швейцарский ривьера , у кромка женевский озеро , в километр от город монтре . замок представлять себя комплекс из элемент разный время постройка .	wiki-wiki
3	замок	1	299-304	проведения архитектурно - археологических работ эстонским реставрационным управлением под руководством архитектора х .  и .  потти , искусствоведа е .  а .  кальюнди и при научной консультации доктора исторических наук п .  а .  рапопорта . с года музей называется государственным музеем выборгский замок .	проведение архитектурный - археологический работа эстонский реставрационный управление под руководство архитектор х . и . потти , искусствовед е . а . кальюнди и при научный консультация доктор исторический наука плата . а . рапопорт . с год музей называться государственный музей выборгский замок .	wiki-wiki
4	замок	1	111-116	топи с . , л . белокуров легенда о завещании мавра с . , н . юсупов день рождения с . , р . янушкевич янтарный замок с . .	топь с . , литр . белокуров легенда о завещание мавр с . , наш . юсуп день рождение с . , р . янушкевич янтарный замок с . .	wiki-wiki
5	замок	1	134-139, 262-267	"великий князь литовский гедимин после успешной охоты обнаружил прекрасное место недалеко от города кернаве , решил воздвигнуть на нем замок и перенести сюда столицу . во второй половине xiv века здесь , в старых троках ( "" сянейи тракай "" ) , уже стоял каменный замок . правил им в — сын гедимина трокский князь кейстут . около года в этом замке родился витовт . в году кейстут перенес свою столицу из старых трок"	"великий князь литовский гедимин после успешный охота обнаружить прекрасный место недалеко от город кернава , решить воздвигнуть на немой замок и перенести сюда столица . в два половина xiv век здесь , в старое трок ( "" сянейя тракай "" ) , уже стоялый каменный замок . правило имя в — сын гедимин трокский князь кейстут . около год в это замок родиться витовт . в год кейстут перенести свой столица из старое трок"	wiki-wiki
6	замок	1	42-47, 281-286	его без боя . в начале xviii века высокий замок захватили и сильно разрушили шведские войска под командованием карла xii . после этого крепость потеряла стратегическое значение . со второй половины xviii в . башни и стены постепенно разбирают на строительный материал . в xix веке замок был разобран . возвышенность укрепили , насадили на склонах деревья , в организовали парк . от старого замка сохранился лишь фрагмент южной каменной стены с бойницами , ограждавшей въезд на территорию замка . памятники градостроительства и архитектуры украинской сср .	он без бой . в начало xviii век высокий замок захватить и сильно разрушить шведский войско под командование карл xii . после это крепость потерять стратегический значение . с два половина xviii в . башня и стена постепенно разбирать на строительный материал . в xix век замок быть разобрать . возвышенность укрепить , насадить на склон дерево , в организовать парк . от старое замок сохраниться лишь фрагмент южный каменный стена с бойница , ограждать въезд на территория замок . памятник градостроительство и архитектура украинский сср .	wiki-wiki
7	замок	1	260-265, 495-500	, колодец , хозяйственные помещения ( склады продовольствия и др . ) . часто в донжоне располагался крупный парадный зал для приемов . элементы донжона можно найти в замковой архитектуре западной и центральной европы , кавказа , средней азии и т .  п . обычно замок имел небольшой внутренний двор , который окружали массивные зубчатые стены с башнями и хорошо укрепленными воротами . далее следовал внешний двор , включавший в себя хозяйственные постройки , а также замковые сад и огород . весь замок был окружен вторым рядом стен и рвом , через который	, колодец , хозяйственный помещение ( склад продовольствие и др . ) . часто в донжон располагаться крупный парадный зал для приём . элемент донжон можно найти в замковый архитектура западный и центральный европа , кавказ , средний азия и том . плата . обычно замок иметь небольшой внутренний двор , который окружать массивный зубчатый стена с башня и хорошо укрепить ворот . далее следовать внешний двор , включать в себя хозяйственный постройка , а также замковый сад и огород . весь замок быть окружный второе ряд стена и ров , через который	wiki-wiki
8	замок	1	197-202, 205-210, 415-420	— сын гедимина трокский князь кейстут . около года в этом замке родился витовт . в году кейстут перенес свою столицу из старых трок в защищенные озером новые троки , где был построен полуостровной замок . замок в старых троках в году был разрушен и больше не восстанавливался . участок земли с остатками замка витовт в году подарил монахам бенедиктинцам . монастырь стоит на старом замчище . трокский полуостровной замок	— сын гедимин трокский князь кейстут . около год в это замок родиться витовт . в год кейстут перенести свой столица из старое трок в защитить озеро новое трок , где быть построить полуостровной замок . замок в старое трок в год быть разрушить и большой не восстанавливаться . участок земля с остаток замок витовт в год подарить монах бенедиктинец . монастырь стоить на старый замчистый . трокский полуостровной замок	wiki-wiki
9	замок	1	28-33, 196-201, 257-262, 417-422	одним из кэмпбеллов — отдал замок в обмен на восьмивесельную лодку - верейку . сталкер вернулся к стюартам только в  г . , но после поражения в битве при данкелде , сюартов обязали вновь передать замок кэмпбеллам . стюарты отказались , и кэмпбеллы осаждали замок в течение нескольких месяцев , пока наконец не захватили его . кэмпбеллы жили в замке примерно до  г . , потом перебрались с острова на большую землю , а замок использовали как склад , пока в  г .	один из кэмпбелл — отдать замок в обмен на восьмивесельный лодка - верейка . сталкер вернуться к стюарт только в год . , но после поражение в битва при данкелд , сюарт обязать вновь передать замок кэмпбелла . стюарт отказаться , и кэмпбелла осаждать замок в течение несколько месяц , пока наконец не захватить он . кэмпбелла жить в замок примерно до год . , потом перебраться с остров на большой земля , а замок использовать как склад , пока в год .	wiki-wiki
10	замок	1	0-5, 14-19, 175-180	замок сталкер замок был построен в  г . и первоначально представлял собой небольшое укрепление , принадлежащее клану макдугалов . в  г . право владения на эти земли , включая замок , перешло к стюартам . считается , что сэр джон	замок сталкер замок быть построить в год . и первоначально представлять себя небольшой укрепление , принадлежащий клан макдугал . в год . право владение на этот земля , включая замок , перейти к стюарт . считаться , что сэр джон	wiki-wiki
