context_id	word	gold_sense_id	positions	context	lem_context	source
1	дисциплина	2	40-48	и педагогика развития детей (12 учебных дисциплин);	и педагогика развитие ребёнок ( 12 учебный дисциплина ) ;	bts-rutenten
2	дисциплина	1	88-97	положительно сказалось на организации учебного процесса, профилактике нарушений учебной дисциплины, правонарушений. Введение и содержание дежурных осуществляется за счет родителей	положительно сказаться на организация учебный процесс , профилактика нарушение учебный дисциплина , правонарушение . введение и содержание дежурный осуществляться за счёт родитель	bts-rutenten
3	дисциплина	2	82-90	теоретического обучения состоит из дисциплин федерального компонента (в том числе дисциплин по выбору студента), дисциплин национально-регионального (регионального) компонента	теоретический обучение состоять из дисциплина федеральный компонент ( в тот число дисциплина по выбор студент ) , дисциплина национально-региональный ( региональный ) компонент	bts-rutenten
4	дисциплина	1	80-89	необходимо учитывать особенности российской экономики: низкий уровень налоговой дисциплины, собираемости налогов, неравномерность распределения налогового бремени между предприятием	необходимый учитывать особенность российский экономика : низкий уровень налоговый дисциплина , собираемость налог , неравномерность распределение налоговый бремя между предприятие	bts-rutenten
5	дисциплина	2	54-62	города с учетом специализации по курсу специальности. дисциплин ведется с использованием современных информационных технологий, цель которого -	город с учёт специализация по курс специальность . дисциплина вестись с использование современный информационный технология , цель который -	bts-rutenten
6	дисциплина	2	84-92	рамках заданной программы. Учитывая сказанное, в практике преподавания строительных дисциплин более широко используют только программированный контроль знаний.	рамка задать программа . учитывать сказать , в практика преподавание строительный дисциплина более широко использовать только программировать контроль знание .	bts-rutenten
7	дисциплина	2	44-52	Факультет гуманитарных и естественнонаучных дисциплин</p><p>	факультет гуманитарный и естественнонаучный дисциплина < / p > < p >	bts-rutenten
8	дисциплина	1	81-90	, узнать, что особенности Вашей валюты наизнанку и в процессе развивают торговую дисциплину. По длинному пробегу Вы будете качать разногласия успеха в вашу пользу.	, узнать , что особенность ваш валюта наизнанку и в процесс развивать торговый дисциплина . по длинный пробег вы быть качать разногласие успех в ваш польза .	bts-rutenten
9	дисциплина	2	41-49	жизнедеятельности и медико-биологических дисциплин</p><p>	жизнедеятельность и медико-биологический дисциплина < / p > < p >	bts-rutenten
10	дисциплина	2	82-91	повышение квалификации. Список программ, специальности, формы обучения, изучаемые дисциплины, преподаватели. Прайс-лист, контакты. Международный Гуманитарно-Лингвистический	повышение квалификация . список программа , специальность , форма обучение , изучать дисциплина , преподаватель . прайс-лист , контакт . международный гуманитарно-лингвистический	bts-rutenten
11	дисциплина	2	80-89	образования, или они изучались в другом образовательном учреждении, или учебные дисциплины основной и дополнительной программ закреплены за разными кафедрами, даже в пределах	образование , или они изучаться в друг образовательный учреждение , или учебный дисциплина основной и дополнительный программа закрепить за разный кафедра , даже в предел	bts-rutenten
12	дисциплина	2	82-90	по специальности 350700 - Реклама, 350400 - Связи с общественностью, при изучении дисциплин 'Рекламные коммуникации', 'Реклама в коммуникационном процессе'. Книга может быть	по специальность 350700 - реклама , 350400 - связь с общественность , при изучение дисциплина ' рекламный коммуникация ' , ' реклама в коммуникационный процесс ' . книга мочь быть	bts-rutenten
13	дисциплина	1	81-90	неоднократного обращения к взрослому обундсмену Лукину имею. Показная формальная дисциплина в работе этого департамента есть. Реакции и изменений на местах — ноль. Вся работа	неоднократный обращение к взрослый обундсмена лукин иметь . показной формальный дисциплина в работа это департамент есть . реакция и изменение на место — ноль . весь работа	bts-rutenten
14	дисциплина	2	47-57	конкурса будут проведены на закрытии выставки. дисциплинам лингвистического и методического циклов по английскому языку на англо-немецком	конкурс быть провести на закрытие выставка . дисциплина лингвистический и методический цикл по английский язык на англо-немецкий	bts-rutenten
15	дисциплина	2	81-91	словаря иностранных слов, то следует подчеркнуть, что астрология стала считаться дисциплиной о сверхъестественных и таинственных силах лишь в эпоху Нового времени, когда астрологическим	словарь иностранный слово , то следовать подчеркнуть , что астрология стать считаться дисциплина о сверхъестественный и таинственный сила лишь в эпоха новое время , когда астрологический	bts-rutenten
16	дисциплина	2	87-96	которое доставляет удовольствие каждому из нас – гонкам. У каждого из нас есть любимая дисциплина – ралли, кросс, ралли-кросс, ралли-рейды, картинг, кольцо. И хочется, чтобы она	который доставлять удовольствие каждый из мы – гонка . у каждый из мы есть любимый дисциплина – ралли , кросс , ралли-кросс , ралли-рейд , картинг , кольцо . и хотеться , чтобы она	bts-rutenten
17	дисциплина	1	80-89	свыше 4 млн административных правонарушений. Что касается нарушителей служебной дисциплины, то заверяю, что руководители милиции общественной безопасности на всех уровнях	свыше 4 миллион административный правонарушение . что касаться нарушитель служебный дисциплина , то заверять , что руководитель милиция общественный безопасность на весь уровень	bts-rutenten
18	дисциплина	2	87-95	учебных программ и их тематического наполнения для общетеоретических и технологических дисциплин, базирующихся на традиционных разделах науки и техники (например, математика, общая	учебный программа и они тематический наполнение для общетеоретический и технологический дисциплина , базироваться на традиционный раздел наука и техника ( например , математика , общий	bts-rutenten
