context_id	word	gold_sense_id	positions	context	lem_context	source
1	альбом	2	88-94	достаточно лишь колесиком мышки крутить вниз. И если вы захотите увеличить фотографию в альбоме, то все следующие фотографии будут также отображаться в полноразмерном варианте	достаточно лишь колесико мышка крутить вниз . и если вы захотеть увеличить фотография в альбом , то весь следующий фотография быть также отображаться в полноразмерный вариант	active-rutenten
2	альбом	3	85-91	выступал в составе команды с таким названием, однако тогда бэнд не записал ни одного альбома. В прошлом году Плант снова собрал коллектив Band of Joy и записал с этими музыкантами	выступать в состав команда с такой название , однако тогда бэнд не записать ни один альбом . в прошлое год плант снова собрать коллектив band of joy и записать с этот музыкант	active-rutenten
3	альбом	2	81-87	. Работает так себе, поскольку функция заточена под банальные фотки из семейного альбома, а-ля «я и Эйфелева башня», где люди стоят анфас в центре кадра и смотрят в камеру	. работать так себя , поскольку функция заточить под банальный фотка из семейный альбом , а-ля « я и эйфелевый башня » , где человек стоять анфас в центр кадр и смотреть в камера	active-rutenten
4	альбом	3	84-89	одержала победу в двух из пяти номинаций: 'Лучший танцевальный хит' и “Танцевальный альбом года'. В марте 2010 года певица объявила, что начала работать над своим новым студийным	одержать победа в два из пять номинация : ' хороший танцевальный хит ' и “ танцевальный альбом год ' . в март 2010 год певица объявить , что начало работать над свой новый студийный	active-rutenten
5	альбом	3	83-88	встречи с Божественным. Вы испытаете ни с чем не сравнимое блаженство, слушая этот альбом во время занятий йогой или принимая сеанс массажа. Эк...	встреча с божественный . вы испытать ни с чем не сравнимый блаженство , слушать этот альбом в время занятие йога или принимать сеанс массаж . эк . . .	active-rutenten
6	альбом	3	78-83	сборнике клуба «Грибоедов», С-Пб) Бонус: клип на песню «Яман» (в формате mpeg)Альбом «Месяц Улыбок» будет выпущен 2 октября компанией CDLand.	сборник клуб « грибоедов » , с-пб ) бонус : клип на песня « яман » ( в формат mpeg ) альбом « месяц улыбка » быть выпустить 2 октябрь компания cdland .	active-rutenten
7	альбом	2	85-92	создания фотоколлажей Wondershare Photo Collage Studio 4.2.13: - Создание коллажей и альбомов из своих фотографий - Десятки шаблонов для коллажей - Дизайны для нескольких страниц	создание фотоколлаж wondershare photo collage studio 4 . 2 . 13 : - создание коллаж и альбом из свой фотография - десятка шаблон для коллаж - дизайн для несколько страница	active-rutenten
8	альбом	3	83-89	слушает «Пикник»(и еще Арию,про др. группы- не знаю)Причем,у него есть и последние альбомы «Пикника»,хоть он давно уже ушел от цивилизации.Он просил своих гостей и «пациентов	слушать « пикник » ( и ещё ария , про др . группы- не знать ) причём , у он есть и последний альбом « пикник » , хоть он давно уже уйти от цивилизация . он просить свой гость и « пациент	active-rutenten
9	альбом	2	67-73	вечера. Богемные, литературные, творческие тусовки. Декабрь, 2009. альбоме размещены фото тусовок и встреч - помимо тусовок в ЦДЛ Москвы, и помимо творческих	вечер . богемный , литературный , творческий тусовка . декабрь , 2009 . альбом разместить фото тусовка и встреча - помимо тусовка в цдл москва , и помимо творческий	active-rutenten
10	альбом	3	90-97	гастрольную деятельность под псевдонимом «Трофим». С этого момента было выпущено более 10 альбомов, среди которых «Аристократия помойки», «Бард-авангард», «Война и мир», «Я скучаю	гастрольный деятельность под псевдоним « трофим » . с это момент быть выпустить более 10 альбом , среди который « аристократия помойка » , « бард-авангард » , « война и мир » , « я скучать	active-rutenten
11	альбом	3	82-88	внутренняя свобода и спокойствие - все это темы песен абсолютно нового студийного альбома Stillife 'Destiny', о котором и рассказали нам участники группы...	внутренний свобода и спокойствие - весь это тема песня абсолютно новое студийный альбом stillife ' destiny ' , о который и рассказать мы участник группа . . .	active-rutenten
12	альбом	2	84-89	Прошла конфетно-букетная влюбленность, свадебный фотограф уже передал вам увесистый альбом с виньетками, и, как естественное продолжение свежесозданной «ячейки общества»,	пройти конфетно-букетный влюблённость , свадебный фотограф уже передать вы увесистый альбом с виньетка , и , как естественный продолжение свежесоздать « ячейка общество » ,	active-rutenten
13	альбом	3	96-101	театрализованного арт-готик-фолк-классик-рок-шоу, сказал А. Литовка. Сейчас записывается первый альбом группы «Пути».	театрализовать арт-готик-фолк-классик-рок-шоу , сказать а . литовка . сейчас записываться один альбом группа « путь » .	active-rutenten
14	альбом	3	9-14	Капюшона альбом молодой и не очень известной группы, так как читатель ожидает не только (и не столько	капюшон альбом молодая и не очень известный группа , так как читатель ожидать не только ( и не столько	active-rutenten
15	альбом	3	85-91	слушает и делится впечатлениями о 30-секундных превьюшках некоторых треков из нового альбома на нашем форуме — группа продолжает активно подогревать интерес фанатов к своему	слушать и делиться впечатление о 30-секундный превьюшка некоторый трек из новое альбом на наш форум — группа продолжать активно подогревать интерес фанат к свой	active-rutenten
16	альбом	3	83-90	стереотипов, естественная и гармоничная в своей простоте. С 1999 года Олег издал 6 альбомов; последний из них – «A2O», выпущенный в 2010 г. Помимо исполнительской деятельности	стереотип , естественный и гармоничный в свой простота . с 1999 год олег издать 6 альбом ; последний из они – « a2o » , выпустить в 2010 год . помимо исполнительский деятельность	active-rutenten
17	альбом	1	81-87	и уцелевших домов, деревенский прусский пейзаж. Пробовал что-то перерисовывать в альбомы.	и уцелеть дом , деревенский прусский пейзаж . пробовать что-то перерисовывать в альбом .	active-rutenten
