context_id	word	gold_sense_id	positions	context	lem_context	source
1	балка	1	90-94	маленькой комнаты. Он был очень высок, наклонил голову, словно подпирая плечом потолочную балку, посмотрел на Сьянову серьезными черными глазами. -- Я из Москвы. Буду испытывать здесь	маленькая комната . он быть очень высокий , наклонить голова , словно подпирать плечо потолочный балка , посмотреть на сьянов серьёзный чёрный глаз . -- я из москва . быть испытывать здесь	bts-rnc
2	балка	1	69-73	Пантюхин в Склифе сейчас. Он выползти на улицу успел, а на Золоткова балка обрушилась. Эх, душой компании парень был! 28-летний Геннадий так и не	пантюхин в склиф сейчас . он выползти на улица успеть , а на золотков балка обрушиться . эх , душа компания парень быть ! 28-летний геннадий так и не	bts-rnc
3	балка	1	115-121	равнозначно обеспечивает и меланхоличную езду. Цельнометаллическое тело, усиленное передними и задними поперечными балками, наряду с работой подвески превращает машину в глыбу, всей плоскостью вросшую в	равнозначный обеспечивать и меланхоличный езда . цельнометаллический тело , усиленный передний и задний поперечный балка , наряду с работа подвеска превращать машина в глыба , весь плоскость врасти в	bts-rnc
4	балка	1	85-90	верхняя часть закрыта, замкнута, многократно обрамлена и в конце концов, как тяжёлой балкой, придавлена широким многоступенчатым карнизом. Роль архитектурных небес выполняет здесь не лёгкая, стрельчатая,	верхний часть закрытый , замкнутый , многократно обрамить и в конец конец , как тяжёлый балка , придавить широкий многоступенчатый карниз . роль архитектурный небо выполнять здесь не лёгкий , стрельчатый ,	bts-rnc
5	балка	1	66-70	по телевизору: наши гол забили, я вскочил от радости и врезался в балку, поскольку дело было в низенькой мансарде. Но ни в коем случае не	по телевизор : наш гол забить , я вскочить от радость и врезаться в балка , поскольку дело быть в низенький мансарда . но ни в кой случай не	bts-rnc
6	балка	1	77-81	вы взглянете на стену нашего театра возле ЦУМа, то увидите торчащие железные балки— это стяжки, которые пронзают здание насквозь. Идешь по коридору и натыкаешься на	вы взглянуть на стен наш театр возле цум , то увидеть торчать железный балка — это стяжка , который пронзать здание насквозь . идти по коридор и натыкаться на	bts-rnc
7	балка	1	85-89	плите приварены стойки 13, на которых смонтирована дисковая батарея 6. На продольной балке 14 рамы 7 смонтирован кронштейн 15 с вертикальной регулировочной тягой 16, на	плита приварить стойка 13 , на который смонтировать дисковый батарея 6 . на продольный балка 14 рама 7 смонтировать кронштейн 15 с вертикальный регулировочный тяга 16 , на	bts-rnc
8	балка	1	57-61	засунуть свой сверток? Да в одни и те же места: либо под балки, либо под изгиб печной трубы... В квартирах - это почти всегда печной дымоход	засунуть свой свёртка ? да в один и тот же место : либо под балка , либо под изгиб печный труба . . . в квартира - это почти всегда печный дымоход	bts-rnc
9	балка	1	100-104	активно шла работа по переработке металлолома, который затем используется для изготовления арматуры,балок и труб. Генеральный директор «Укрметалла» Анатолий Колесник заявлял, что переработка металлолома из	активно идти работа по переработка металлолом , который затем использоваться для изготовление арматура , балка и труба . генеральный директор « укрметалл » анатолий колесник заявлять , что переработка металлолом из	bts-rnc
10	балка	1	101-106	основания, находится место, где частенько собираются подростки – рисунки граффити, пошлые надписи на балках и несущей опоре, банки пива... Вверху, под самым сводом, надпись «Ц... Артем	основание , находиться место , где частенько собираться подросток – рисунок граффити , пошлый надпись на балка и несущий опор , банка пиво . . . вверху , под самый свод , надпись « ц . . . артём	bts-rnc
11	балка	1	97-101	ценим историческую архитектуру и бережно подходим ко всем материалам: собираем старые деревянные балки, чугунные колонны, кирпичи. Все это интегрируется в здание», — отмечает Александр Подусков, директор	ценить исторический архитектура и бережно подходить к весь материал : собирать старое деревянный балка , чугунный колонна , кирпич . весь это интегрироваться в здание » , — отмечать александр подусков , директор	bts-rnc
