context_id	word	gold_sense_id	positions	context	lem_context	source
1	дар	1	18-22	Отвергнуть щедрый дар	отвергнуть щедрый дар	active-dict
2	дар	1	21-28	покупать преданность дарами и наградами	покупать преданность дар и награда	active-dict
3	дар	1	19-23	Вот яд – последний дар моей Изоры	вот яд – последний дар мой изора	active-dict
4	дар	1	81-87	Основная функция корильных песен – повеселить участников свадьбы и побудить их к дарам	основный функция корильный песня – повеселить участник свадьба и побудить они к дар	active-dict
5	дар	1	151-157	Но недели две спустя (Алевтина его когда-то об этом просила) он отправляет ей с рабочими изящный шкафчик, счет, конечно, приложен – никаких, извините, даров	но неделя два спустя ( алевтин он когда-то о это просить ) он отправлять она с рабочий изящный шкафчик , счёт , конечно , приложить – никакой , извинить , дар	active-dict
6	дар	1	95-99	Мать Ревекки приберегала кусок и на праздник пекла для калеки любимое блюдо, сияя от гордости: дар беднейшему – бедных богатство	мать ревекка приберегать кусок и на праздник пекло для калека любимый блюдо , сиять от гордость : дар бедный – бедный богатство	active-dict
7	дар	1	205-210	Время от времени Лидия Михайловна «доставала» нам – то штаны, то пресловутый шкаф. Мне не хотелось чувствовать себя у нее в долгу, но надо было быть благодарным: все это и вправду было нам нужно, хотя все дары мне делались без спросу	время от время лидий михайло « доставать » мы – то штаны , то пресловутый шкаф . я не хотеться чувствовать себя у нея в долг , но надо быть быть благодарный : весь это и вправду быть мы нужно , хотя весь дар я делаться без спрос	active-dict
8	дар	1	80-84	Недавно приезжавший в Оргеев посол РФ в Молдавии Павел Петровский передал школе дар правительства Москвы – учебники	недавно приезжать в оргеев посол рф в молдавия павел петровский передать школа дар правительство москва – учебник	active-dict
9	дар	2.1	18-22	Жизнь – бесценный дар	жизнь – бесценный дар	active-dict
10	дар	2.1	25-29	Такая любовь – настоящий дар судьбы	такой любовь – настоящий дар судьба	active-dict
11	дар	2.1	18-23	Неисчислимы Божии дары	неисчислимый божий дар	active-dict
12	дар	2.1	0-4,15-19	Дар напрасный, дар случайный, / Жизнь, зачем ты мне дана?	дар напрасный , дар случайный , / жизнь , зачем ты я дать ?	active-dict
13	дар	2.1	70-75	Господа, – воскликнул я вдруг от всего сердца, – посмотрите кругом на дары Божии: небо ясное, воздух чистый, травка нежная	господин , – воскликнуть я вдруг от всего сердце , – посмотреть кругом на дар божий : небо ясный , воздух чистый , травка нежный	active-dict
14	дар	2.1	82-87	Слишком многого она ожидала, слишком многого требовала от жизни, которая скупа на дары	слишком многое она ожидать , слишком многое требовать от жизнь , который скуп на дар	active-dict
15	дар	2.1	67-71	То, что выглядит как наша жертва Ему, в высшей реальности есть Его дар нам	то , что выглядеть как наш жертва он , в высокий реальность есть он дар мы	active-dict
16	дар	2.1	36-40	Смерть любимых, дорогих людей – это дар, который помогает понять то важное, для чего мы здесь	смерть любимый , дорогой человек – это дар , который помогать понять то важный , для что мы здесь	active-dict
17	дар	2.1	31-35,112-116	Пенсия – это просто счастливый дар судьбы, – продолжал Сергей Николаевич, нимало не понимая, что это никакой не дар, а просто заработанное им расчетливо утаено государством	пенсия – это просто счастливый дар судьба , – продолжать сергей николай , нимало не понимать , что это никакой не дар , а просто заработать имя расчётливый утаить государство	active-dict
18	дар	2.1	81-88	С каждым годом множилось число тех, кто любил пострелять и попользоваться дичью, дарами природы к почти голодному столу	с каждый год множиться число тот , кто любить пострелять и попользоваться дичь , дар природа к почти голодный стол	active-dict
19	дар	2.1	36-41	Труд тысяч и тысяч мастеров, лучшие дары земли, стояли, лежали и висели перед ним	труд тысяча и тысяча мастер , хороший дар земля , стоять , лежать и висеть перед он	active-dict
20	дар	2.1	103-108	Так наш завтрак еще в Лагуне? – В этом вся прелесть! – воскликнула Наташа. – Прямо из воды – свежайшие дары моря!	так наш завтрак ещё в лагуна ? – в это весь прелесть ! – воскликнуть наташа . – прямо из вода – свежайший дар море !	active-dict
21	дар	2.1	43-49	В те времена охота, рыболовство, собирание даров леса, в том числе и грибов, было не забавой […], но бытом, повседневностью, жизнью	в тот время охота , рыболовство , собирание дар леса , в тот число и грибов , быть не забава [ … ] , но бытом , повседневность , жизнь	active-dict
22	дар	2.1	0-5	Дары тайги выменивались на продукты морского промысла	дар тайга вымениваться на продукт морской промысл	active-dict
23	дар	2.1	91-97	Один за другим беспрерывно шлепаются в лодку золотистые караси. […] Прохор привык к щедрым дарам Угрюм-реки и не удивляется	один за другой беспрерывно шлёпаться в лодка золотистый карась . [ … ] прохор привыкнуть к щедрый дар угрюм-река и не удивляться	active-dict
24	дар	2.3	0-4	Дар оратора	дар оратор	active-dict
25	дар	2.3	20-24	У нее с детства был дар передразнивать знакомых	у нея с детство быть дар передразнивать знакомый	active-dict
26	дар	2.3	128-132	Писатель не творит ее [литературу], а как бы исполняет, улавливая сигналы. Чувствительность к такого рода сигналам и есть Божий дар	писатель не творить она [ литература ] , а как бы исполнять , улавливать сигнал . чувствительность к такой род сигнал и есть божий дар	active-dict
27	дар	2.3	71-77	Потому-то он и оказался не сломленным до конца своих дней, что обладал даром хороших крестьян и больших художников – извлекать удовольствие из самой работы, а не ждать ее часто обманчивых плодов	потому-то он и оказаться не сломить до конец свой день , что обладать даром хороший крестьянин и больший художник – извлекать удовольствие из самый работа , а не ждать она часто обманчивый плод	active-dict
28	дар	2.3	82-86	Так, начиная с этого дня, открылся у Павла Алексеевича этот странный, но полезный дар. Он называл его про себя «внутривидением»	так , начинать с это день , открыться у павел алексей этот странный , но полезный дар . он называть он про себя « внутривидение »	active-dict
29	дар	2.3	55-61	Считалось, что Андрей Иванович обладает необыкновенным даром «выведывать мысли»	считаться , что андрей иван обладать необыкновенный даром « выведывать мысль »	active-dict
30	дар	2.3	8-12	Ученому дар рассказчика, казалось бы, без нужды, а у него он каким-то образом входил в его научный талант	учёный дар рассказчик , казалось бы , без нужда , а у он он какой-то образ входить в он научный талант	active-dict
31	дар	2.3	15-20,37-43	Когда выносили дары и их подводили к дарам, тотчас «беснование» прекращалось и больные […] успокаивались	когда выносить дар и они подводить к дар , тотчас « беснование » прекращаться и больной [ … ] успокаиваться	active-dict
32	дар	2.3	104-111	В конце была приписка, что священник приехал, исповедовал больную глухою исповедью и приобщил запасными дарами	в конец быть приписка , что священник приехать , исповедовать больной глухой исповедь и приобщить запасный дар	active-dict
33	дар	2.3	55-62,128-133	Он предупредил меня, что мы заедем в костел за святыми дарами для причащения умирающего и что с человеком, который везет святые дары, нельзя разговаривать	он предупредить я , что мы заехать в костёл за святой дар для причащение умирать и что с человек , который везти святой дар , нельзя разговаривать	active-dict
34	дар	2.3	46-52	Как я могу служить обедню? У меня ведь нет ни даров, ни епитрахили	как я мочь служить обедня ? у я ведь нет ни дар , ни епитрахиль	active-dict
35	дар	2.3	55-62	Поднимешь глаза – на амвоне стоит священник со святыми Дарами, и чудится, скорбный свет идет от чаши	поднять глаз – на амвон стоить священник с святой дар , и чудиться , скорбный свет идти от чаша	active-dict
