context_id	word	gold_sense_id	positions	context	lem_context	source
1	альбом	2	203-209	Марина откинула одеяло опустила ноги в огромные тигровые тапочки и натянула на себя махровый халат украденный в позапрошлом году в одной из лучших гостиниц города . Рядом с кроватью были стопкой сложены альбомы по искусству два месяца назад когда у нее заканчивался токсикоз Марина всерьез собиралась стать искусствоведом . На книгах стоял стакан с молоком	марин откинуть одеяло опустить нога в огромный тигровый тапочки и натянуть на себя махровый халат украсть в позапрошлый год в один из хороший гостиница город . ряд с кровать быть стопка сложённый альбом по искусство два месяц назад когда у нея заканчиваться токсикоз марин всерьёз собираться стать искусствовед . на книга стоялый стакан с молоко	active-rnc
2	альбом	2	275-280	Романтизм в России дает возможность говорить не столько о русском романтизме сколько о том как его видит советское искусствознание и незаменимым источником является каталог . Пухлые каталоги для сегодняшних выставок норма но тут перед нами не сборник содержательных статей а альбом . Имелось в виду очевидно воспроизвести альбом XIX века	романтизм в россия давать возможность говорить не столько о русский романтизм сколько о тот как он видеть советский искусствознание и незаменимый источник являться каталог . пухлый каталог для сегодняшний выставка норма но тут перед мы не сборник содержательный стать а альбом . иметься в вид очевидно воспроизвести альбом xix век	active-rnc
3	альбом	1	74-80	Твой папа Лиза знал меня еще маленькой девочкой . Пойди Лиза достань твои альбомы . Марья Петровна и Акантов остались вдвоем	твой папа лиза знать я ещё маленькая девочка . пойти лиза достать твой альбом . марья пётр и акантовый остаться вдвоём	active-rnc
4	альбом	3	210-216	В первом отделении по одной песне споют гости Анастасия Катя Семенова Александр Шаганов Евгений Кемеровский Крис Кельми Женя Белоусов Наталья Гулькина . Во втором можно будет услышать почти все песни из нового альбома Сергея Чумакова Как в первый раз Под луной Колыбельная Марина Песня без слов Полночный блюз а также знаменитые От весны до весны Троллейбус кольцевой . Новая программа Чумакова это свинг твист шейк	в первое отделение по один песня спеть гость анастасий катя семенов александр шаган евгений кемеровский крис кельмить женя белоус наталья гулькин . в второе можно быть услышать почти весь песнь из новое альбом сергей чумаков как в один раз под луна колыбельный марин песня без слово полночный блюз а также знаменитый от весна до весна троллейбус кольцевой . новый программа чумаков это свинг твист шейк	active-rnc
5	альбом	2	177-182	В парижской квартире Сен-Лорана рядом с Матиссом и Пикассо среди античных бюстов и негритянских скульптур на инкрустированном музейном столике лежал несколько лет и драгоценный альбом Сергея Параджанова . Недавно во время пожара в квартире огонь уничтожил альбом но к счастью друзья в Тбилиси в свое время успели сфотографировать все работы . Встреча-невстреча с Эйзенштейном	в парижский квартира сен-лоран ряд с матисс и пикассо среди античный бюстовый и негритянский скульптура на инкрустировать музейный столик лежалый несколько год и драгоценный альбом сергей параджанов . недавно в время пожар в квартира огонь уничтожить альбом но к счастие друг в тбилиси в свой время успеть сфотографировать весь работа . встреча-невстреча с эйзенштейн	active-rnc
6	альбом	2	174-180	К тому ж всю обработку лебедевских снимков вела фотолаборатория ЦК а сам Лебедев в служебное время только рассматривал сортировал и раскладывал негативы и карточки . В одном альбоме на фоне тех же книжных полок где он только-что отснял меня улыбались Шолохов и Михалков . Были места и для меня	к тот ж весь обработка лебедевский снимок вести фотолаборатория цк а сам лебедев в служебный время только рассматривать сортировать и раскладывать негатив и карточка . в один альбом на фон тот же книжный полка где он только-что отснять я улыбаться шолохов и михалков . быть место и для я	active-rnc
7	альбом	2	45-51	Обедали вчетвером . Рассматривали фотографич альбомы в моем новом кабинете . 17 го ноября	обедать вчетвером . рассматривать фотографич альбом в мыть новый кабинет . 17 го ноябрь	active-rnc
8	альбом	2	72-77	Уманский ожил и даже встал но только он взял тяжелый роскошный немецкий альбом в руки как тут же сам опять рухнул на стул . Но сообразил вновь встал оставив теперь альбом лежать на столе . Речь подсказали ему	уманский ожить и даже встать но только он взять тяжёлый роскошный немецкий альбом в рука как тут же сам опять рухнуть на стул . но сообразить вновь встать оставить теперь альбом лежать на стол . речь подсказать он	active-rnc
9	альбом	3	89-95	Теперь Илюха поёт свои песни на стадионах и ведёт шоу на телевидении . А три мои сольных альбома разошлись общим тиражом в двадцать копий на магнитофонных кассетах . Не так давно он приходил ко мне ещё раз	теперь илюха петь свой песнь на стадион и вести шоу на телевидение . а три мой сольный альбом разойтись общий тираж в двадцать копия на магнитофонный кассета . не так давно он приходить к я ещё раз	active-rnc
10	альбом	2	31-36	Как домой . Поэтому Грузинский альбом уже не храм а его развалины . Потому каждая грузинская глава чередуется с русской	как домой . поэтому грузинский альбом уже не храм а он развалина . потому каждый грузинский глава чередоваться с русский	active-rnc
11	альбом	2	128-133	м более что еще не закончила Кахрие-Джами . Но вот что важно мой англичанин не только нашелся но предложил мне издать в Лондоне альбом моих зарисовок . Это конечно журавль в небе но ведь без надежды не проживешь	метр более что ещё не закончить кахрие-джами . но вот что важный мой англичанин не только найтись но предложить я издать в лондон альбом мой зарисовка . это конечно журавль в небо но ведь без надежда не прожить	active-rnc
12	альбом	2	115-120	Сейчас подслушают опишут и смотришь наутро со всей своей фамилией в газету влетел . Ну что за радость ежели эдакий альбом про вас у нас в Рыбинске прочтут . Вон он сочинитель-то в углу стоит и смотрит	сейчас подслушать описать и смотреть наутро с весь свой фамилия в газета влететь . ну что за радость ежели эдакий альбом про вы у мы в рыбинск прочесть . вон он сочинитель-то в угол стоить и смотреть	active-rnc
13	альбом	2	47-52	Забрал он письма разберем про вашего Кривого . Альбом был у Луши с карточками . Смотреть	забрать он письмо разобрать про ваш кривой . альбом быть у лухо с карточка . смотреть	active-rnc
14	альбом	3	46-54	Кайфоухость 8 звезд . В этом году с отличными альбомами уже всплыло достаточное количество легендарных динозавров и вот вам нате даже монстры из монстров Iron Maiden отметились . Уж после них кого еще ожидать-то	кайфоухость 8 звезда . в это год с отличный альбом уже всплыть достаточный количество легендарный динозавр и вот вы нате даже монстр из монстр iron maiden отметиться . уж после они кто ещё ожидать-то	active-rnc
15	альбом	1	75-81	Michel saluez donc monsieur et mettez tout cela de cote . Что это у вас ах альбомы рисунки произведения вашей музы . Я заранее без ума от них покажите покажите ради бога	michel saluez donc monsieur et mettez tout cela de cote . что это у вы ах альбом рисунок произведение ваш муза . я заранее без ум от они показать показать ради бог	active-rnc
16	альбом	1	110-116	Обязанность историка по клочкам по жалким остаткам восстановить сделанное ими . Перед нами два кожаных черных альбома с золотою надписью на каждом птички . Они хранятся в Москве у внучек иркутского купца Василия Николаевича Баснина собравшего замечательную библиотеку великолепную коллекцию гравюр и гербарий	обязанность историк по клочок по жалкий остаток восстановить сделать они . перед мы два кожаный чёрный альбом с золотой надпись на каждый птичка . они храниться в москва у внучек иркутский купец василий николай баснин собрать замечательный библиотека великолепный коллекция гравюра и гербарий	active-rnc
17	альбом	2	46-51	В Нью-Йорке пару месяцев . Хочешь покажу свой альбом . Издан в Париже	в нью-йорк пара месяц . хотеть показать свой альбом . издать в париж	active-rnc
